Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-12-08,Gladiator II,2024,https://boxd.it/7ZVttZ,3.5,,"with kate, in theaters",2024-12-07
2024-12-10,Flow,2024,https://boxd.it/815kvh,3.5,,in theaters,2024-12-09
2024-12-11,Paragraph 175,2000,https://boxd.it/81zGTl,,,criterion channel,2024-12-10
2024-12-11,Warsha,2022,https://boxd.it/81A1XN,,,criterion channel,2024-12-10
2024-12-11,Goodbye Jerome!,2021,https://boxd.it/81AcZZ,,,criterion channel,2024-12-10
2024-12-13,Fireworks,1947,https://boxd.it/82u6fX,,,,2024-12-12
2024-12-14,Parting Glances,1986,https://boxd.it/82ZKW5,4,,,2024-12-13
2024-12-15,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,2003,https://boxd.it/83wK1p,,,in theaters,2024-12-14
2024-12-16,Serial Mom,1994,https://boxd.it/84alIt,4,,"criterion channel, on plane",2024-12-15
2024-12-20,Election,1999,https://boxd.it/86hmFx,3.5,,"criterion channel, on plane",2024-12-19
2024-12-23,Strangers on a Train,1951,https://boxd.it/87NKTr,4,,criterion channel,2024-12-22
2024-12-23,North by Northwest,1959,https://boxd.it/888ilt,4,,criterion channel,2024-12-22
2024-12-26,Blade,1998,https://boxd.it/8ao9z7,5,,,2024-12-25
2024-12-27,The Phantom of the Opera,2004,https://boxd.it/8bnSKB,3.5,,,2024-12-26
2024-12-29,Daredevil,2003,https://boxd.it/8dghgN,3,,with taylor,2024-12-28
2024-12-31,The Brutalist,2024,https://boxd.it/8fdSK3,4.5,,"with taylor, with kate, in theaters, on film, vista theater",2024-12-30
2025-01-01,Elektra,2005,https://boxd.it/8fW1CP,1.5,,with taylor,2024-12-31
2025-01-02,Phantom Thread,2017,https://boxd.it/8h5EsB,4.5,,"in theaters, with taylor, on film, aero theater",2025-01-01
2025-01-03,Hairspray,2007,https://boxd.it/8i79Vb,5,,"with kate, with taylor",2025-01-02
2025-01-08,Isaac,2019,https://boxd.it/8n5JRb,3,,,2025-01-07
2025-01-10,The Last Suit,2017,https://boxd.it/8oSRhd,4,,,2025-01-09
2025-01-11,The Substance,2024,https://boxd.it/8qiJNB,3.5,,with kate,2025-01-10
2025-01-16,The Imaginary,2023,https://boxd.it/8uMSLF,3.5,,,2025-01-15
2025-01-17,Mulholland Drive,2001,https://boxd.it/8vsm0r,4,,criterion channel,2025-01-16
2025-01-19,Marvel Studios Assembled: The Making of X-Men '97,2024,https://boxd.it/8x4oK7,,,,2025-01-18
2025-01-19,I Saw the TV Glow,2024,https://boxd.it/8x4ri1,3,,,2025-01-18
