Watched Date,Film,Released,My Rating,Rewatch
2025-05-06,Black Panther: Wakanda Forever,2022,4.0,True
2025-05-26,Showgirls,1995,3.0,False
2025-05-28,Ed Wood,1994,3.0,False
2025-05-31,Captain America: Brave New World,2025,3.0,False
2025-06-03,D.E.B.S.,2004,4.0,False
2025-07-09,Dungeons & Dragons: Honor Among Thieves,2023,3.0,False
2025-07-11,Breakfast at Tiffany's,1961,2.5,False
2025-07-20,A Minecraft Movie,2025,3.0,False
2025-07-20,Hoodwinked!,2005,,True
2025-07-28,The Fantastic 4: First Steps,2025,3.5,False
2025-08-02,Once Upon a Time... in Hollywood,2019,3.0,False
2025-08-15,The Witcher: Nightmare of the Wolf,2021,3.0,False
2025-08-24,X2,2003,4.0,True
2025-08-30,The Magnificent Seven,1960,3.5,False
2025-08-31,Taxi zum Klo,1980,3.5,False
2025-09-02,Elvira's Haunted Hills,2001,2.5,False
2025-09-04,Cabaret,1972,5.0,True
2025-09-05,Liza with a Z,1972,,False
2025-09-05,All That Jazz,1979,5.0,False
2025-09-07,The Last Unicorn,1982,3.5,False
2025-09-07,The Boys in the Band,1970,4.0,True
2025-09-09,There Will Be Blood,2007,3.5,False
2025-09-10,The Glassworker,2024,3.0,False
2025-09-13,The Seventh Seal,1957,,False
2025-09-15,Hairspray,1988,4.0,False
2025-09-15,Serial Mom,1994,4.0,True
2025-09-16,Butch Cassidy and the Sundance Kid,1969,4.0,False
2025-09-20,"The Good, the Bad and the Ugly",1966,4.0,False
2025-09-21,Sebastiane,1976,3.0,False
2025-09-22,The Strong Ones,2019,3.5,False
2025-09-22,Best in Show,2000,3.5,False
2025-09-23,And Then We Danced,2019,4.5,False
2025-09-27,Serial Mom,1994,4.0,True
2025-09-30,The Elvira Show,1993,,False
2025-10-01,House on Haunted Hill,1959,3.0,False
2025-10-04,Sinners,2025,4.5,False
2025-10-13,Sansho the Bailiff,1954,,False
2025-10-15,Little Shop of Horrors,1986,3.5,False
2025-10-19,Princess Mononoke,1997,5.0,True
2025-10-28,Seconds,1966,4.0,False
2025-11-02,One Battle After Another,2025,5.0,False
2025-11-04,Memoir of a Snail,2024,3.5,False
2025-11-06,Do the Right Thing,1989,4.5,False
2025-11-09,The Doom Generation,1995,4.0,False
2025-11-10,Isle of Dogs,2018,4.0,False
2025-11-12,Addams Family Values,1993,4.0,False
2025-11-15,Paper Moon,1973,3.5,False
2025-11-16,Stardust,2007,3.5,False
2025-11-20,"Night Is Short, Walk On Girl",2017,4.5,False
2025-11-21,To Be or Not to Be,1942,3.5,False
2025-11-22,Animal Crossing: The Movie,2006,,False
2025-11-23,Judgment at Nuremberg,1961,,False
2025-11-25,Casablanca,1942,,False
2025-12-03,Falsettos,2017,,False
2025-12-04,Wicked: For Good,2025,3.5,False
2025-12-07,Garlic Is as Good as Ten Mothers,1980,,False
2025-12-10,The Wiz,1978,3.5,False
2025-12-14,Chungking Express,1994,4.0,False
2025-12-17,The Umbrellas of Cherbourg,1964,3.5,False
2025-12-18,Fiddler on the Roof,1971,4.5,False
2025-12-19,Broadway Musicals: A Jewish Legacy,2013,,False
2025-12-20,"It Is Not the Homosexual Who Is Perverse, But the Society in Which He Lives",1971,,False
2025-12-21,Silence = Death,1989,,False
2025-12-21,A Long Way From Heaven: The Rainbow Y Story,2024,,False
2025-12-21,Four Christmases,2008,3.5,False
2025-12-23,Rock Hudson: All That Heaven Allowed,2023,,False
2025-12-28,Love Lies Bleeding,2024,3.0,False
2025-12-29,Wake Up Dead Man,2025,3.5,False
2025-12-31,Stranger Things 5: The Finale,2025,4.0,False
2026-01-01,Marty Supreme,2025,3.5,False
2026-01-02,One Battle After Another,2025,5.0,True
2026-01-07,Lost in America,1985,3.0,False
2026-01-10,The Bitter Tears of Petra von Kant,1972,4.0,False
2026-01-12,The Handmaiden,2016,4.5,False
2026-01-13,Pillion,2025,3.5,False
2026-01-14,KPop Demon Hunters,2025,4.0,False
